Node_id,Cluster_assignments
0,5
1,3
2,0
3,6
4,3
5,0
6,1
7,0
8,5
9,6
10,5
11,1
12,0
13,5
14,6
15,0
16,4
17,2
18,1
19,0
20,3
21,0
22,0
23,3
24,0
25,3
26,1
27,5
28,4
29,2
30,1
31,3
32,0
33,0
34,5
35,1
36,6
37,3
38,0
39,0
40,3
41,5
42,1
43,4
44,0
45,6
46,3
47,0
48,3
49,1
50,1
51,3
52,1
53,3
54,0
55,5
56,3
57,0
58,5
59,0
60,0
61,0
62,0
63,5
64,6
65,1
66,0
67,3
68,3
69,1
70,0
71,1
72,5
73,5
74,0
75,0
76,4
77,0
78,3
79,2
80,0
81,3
82,2
83,5
84,5
85,4
86,5
87,0
88,3
89,6
90,1
91,2
92,5
93,0
94,3
95,1
96,1
97,3
98,3
99,0
100,3
101,3
102,1
103,0
104,3
105,6
106,5
107,1
108,4
109,3
110,1
111,4
112,0
113,4
114,3
115,6
116,0
117,0
118,5
119,0
120,1
121,3
122,3
123,6
124,1
125,2
126,6
127,6
128,1
129,3
130,1
131,1
132,3
133,1
134,0
135,3
136,4
137,3
138,0
139,0
140,5
141,2
142,5
143,3
144,5
145,0
146,2
147,6
148,0
149,0
150,6
151,5
152,0
153,6
154,3
155,1
156,3
157,0
158,3
159,5
160,2
161,0
162,1
163,0
164,2
165,0
166,2
167,3
168,3
169,3
170,3
171,3
172,3
173,0
174,5
175,3
176,2
177,0
178,6
179,5
180,3
181,0
182,3
183,6
184,2
185,0
186,1
187,0
188,3
189,3
190,1
191,4
192,0
193,0
194,0
195,1
196,3
197,6
198,0
199,2
200,0
201,3
202,1
203,0
204,3
205,5
206,1
207,0
208,2
209,5
210,2
211,2
212,2
213,2
214,3
215,1
216,0
217,3
218,2
219,6
220,5
221,5
222,5
223,6
224,0
225,0
226,0
227,6
228,0
229,1
230,0
231,3
232,4
233,6
234,0
235,5
236,6
237,6
238,5
239,1
240,6
241,4
242,2
243,4
244,1
245,0
246,0
247,2
248,2
249,5
250,6
251,0
252,0
253,3
254,0
255,5
256,4
257,5
258,3
259,1
260,2
261,6
262,0
263,3
264,4
265,3
266,0
267,0
268,3
269,4
270,0
271,3
272,3
273,4
274,5
275,1
276,1
277,2
278,6
279,0
280,0
281,3
282,4
283,5
284,6
285,0
286,5
287,1
288,6
289,0
290,6
291,0
292,0
293,5
294,0
295,2
296,5
297,5
298,3
299,5
300,6
301,2
302,2
303,0
304,5
305,3
306,2
307,5
308,3
309,0
310,3
311,3
312,0
313,3
314,3
315,0
316,0
317,3
318,3
319,4
320,0
321,0
322,4
323,2
324,3
325,6
326,3
327,6
328,0
329,0
330,2
331,5
332,3
333,6
334,0
335,3
336,0
337,6
338,0
339,3
340,6
341,0
342,2
343,4
344,0
345,0
346,3
347,3
348,2
349,4
350,5
351,5
352,3
353,5
354,3
355,5
356,0
357,2
358,0
359,0
360,5
361,5
362,2
363,6
364,3
365,2
366,4
367,0
368,0
369,0
370,1
371,0
372,0
